Unix,Date,Symbol,Open,High,Low,Close,Volume SOL,Volume EUR,tradecount
1692662400000,2023-08-22,SOLEUR,19.55,19.59,17.9,19.05,46662.98,885866.5459,5739
1692576000000,2023-08-21,SOLEUR,20.26,20.26,18.83,19.54,45670.75,895520.002,5036
1692489600000,2023-08-20,SOLEUR,20.51,20.61,20.15,20.26,20401.27,415342.8575,2528
1692403200000,2023-08-19,SOLEUR,20.04,20.85,20.02,20.52,30855.46,630801.7297,3706
1692316800000,2023-08-18,SOLEUR,20.1,21.09,19.65,20.07,61540.71,1256577.2937,6970
1692230400000,2023-08-17,SOLEUR,21.12,21.69,18.72,20.13,77125.9,1603989.3156,8851
1692144000000,2023-08-16,SOLEUR,22.04,22.18,20.72,21.12,53572.8,1148691.2332,5580
1692057600000,2023-08-15,SOLEUR,23.44,23.58,21.93,22.09,38971.8,883612.0257,4603
1691971200000,2023-08-14,SOLEUR,22.35,23.45,22.21,23.42,32251.48,738955.6735,3376
1691884800000,2023-08-13,SOLEUR,22.95,22.98,22.35,22.37,16313.61,369564.6025,2193
1691798400000,2023-08-12,SOLEUR,22.84,23.22,22.62,22.93,19485.35,444867.9016,2285
1691712000000,2023-08-11,SOLEUR,22.79,23.06,22.53,22.84,24998.38,569021.7561,2753
1691625600000,2023-08-10,SOLEUR,22.67,22.86,22.32,22.77,24567.96,555259.8761,3075
1691539200000,2023-08-09,SOLEUR,22.52,23.14,22.4,22.68,36401.1,828416.6358,3646
1691452800000,2023-08-08,SOLEUR,21.4,23.04,21.32,22.51,67901.37,1498836.4294,5241
1691366400000,2023-08-07,SOLEUR,21.4,21.8,20.66,21.39,38360.74,813157.3636,3666
1691280000000,2023-08-06,SOLEUR,20.9,21.6,20.82,21.4,24358.44,519932.5737,2472
1691193600000,2023-08-05,SOLEUR,21.0,21.16,20.5,20.88,17880.47,373389.4449,2299
1691107200000,2023-08-04,SOLEUR,20.76,21.53,20.6,21.01,44918.95,952984.2329,4209
1691020800000,2023-08-03,SOLEUR,21.2,21.41,20.6,20.73,39348.65,824724.8123,3957
1690934400000,2023-08-02,SOLEUR,21.9,22.15,20.96,21.21,28457.17,610079.7509,3922
1690848000000,2023-08-01,SOLEUR,21.61,21.91,20.92,21.9,41263.24,883787.3386,5273
