Unix,Date,Symbol,Open,High,Low,Close,Volume BNT,Volume BTC,tradecount
1719187200000,2024-06-24,BNTBTC,9.82e-06,1.023e-05,9.6e-06,1.023e-05,17041.1,0.16732951,230
1719100800000,2024-06-23,BNTBTC,9.84e-06,9.97e-06,9.59e-06,9.76e-06,9315.3,0.09160342,171
1719014400000,2024-06-22,BNTBTC,9.92e-06,9.97e-06,9.75e-06,9.78e-06,13841.1,0.13667215,179
1718928000000,2024-06-21,BNTBTC,9.98e-06,1.012e-05,9.92e-06,1e-05,10101.2,0.10129485,178
1718841600000,2024-06-20,BNTBTC,9.94e-06,1.018e-05,9.9e-06,9.91e-06,16636.4,0.16737931,251
1718755200000,2024-06-19,BNTBTC,9.82e-06,1.009e-05,9.82e-06,9.96e-06,41970.8,0.41831592,175
1718668800000,2024-06-18,BNTBTC,9.91e-06,1.004e-05,9.31e-06,9.79e-06,39096.9,0.37777352,327
1718582400000,2024-06-17,BNTBTC,1.045e-05,1.045e-05,9.92e-06,9.93e-06,32978.1,0.33314534,282
1718496000000,2024-06-16,BNTBTC,1.037e-05,1.048e-05,1.031e-05,1.04e-05,4949.2,0.05152781,78
1718409600000,2024-06-15,BNTBTC,1.033e-05,1.053e-05,1.026e-05,1.042e-05,5567.9,0.05800709,93
1718323200000,2024-06-14,BNTBTC,1.032e-05,1.052e-05,1.019e-05,1.039e-05,9772.4,0.10126558,122
1718236800000,2024-06-13,BNTBTC,1.047e-05,1.051e-05,1.03e-05,1.03e-05,10446.8,0.10856176,133
1718150400000,2024-06-12,BNTBTC,1.031e-05,1.065e-05,1.026e-05,1.053e-05,27943.4,0.29506022,258
1718064000000,2024-06-11,BNTBTC,1.052e-05,1.057e-05,1.028e-05,1.038e-05,19464.5,0.20338718,231
1717977600000,2024-06-10,BNTBTC,1.053e-05,1.059e-05,1.039e-05,1.047e-05,8170.7,0.08603933,209
1717891200000,2024-06-09,BNTBTC,1.047e-05,1.058e-05,1.047e-05,1.054e-05,10786.7,0.11349942,1301
1717804800000,2024-06-08,BNTBTC,1.104e-05,1.11e-05,1.043e-05,1.049e-05,39623.3,0.42206087,1884
1717718400000,2024-06-07,BNTBTC,1.131e-05,1.144e-05,1.012e-05,1.106e-05,54863.1,0.60539936,1058
1717632000000,2024-06-06,BNTBTC,1.159e-05,1.16e-05,1.118e-05,1.134e-05,61832.0,0.70263842,402
1717545600000,2024-06-05,BNTBTC,1.179e-05,1.18e-05,1.147e-05,1.161e-05,22753.1,0.26373453,288
1717459200000,2024-06-04,BNTBTC,1.173e-05,1.183e-05,1.163e-05,1.169e-05,18313.9,0.21463957,170
1717372800000,2024-06-03,BNTBTC,1.19e-05,1.21e-05,1.172e-05,1.172e-05,114008.5,1.3538546,503
1717286400000,2024-06-02,BNTBTC,1.201e-05,1.202e-05,1.176e-05,1.188e-05,18795.3,0.22367338,168
1717200000000,2024-06-01,BNTBTC,1.193e-05,1.214e-05,1.193e-05,1.201e-05,13491.1,0.16241002,115
1717113600000,2024-05-31,BNTBTC,1.176e-05,1.206e-05,1.164e-05,1.205e-05,20623.4,0.24346595,163
1717027200000,2024-05-30,BNTBTC,1.186e-05,1.203e-05,1.168e-05,1.183e-05,121749.2,1.45549525,919
1716940800000,2024-05-29,BNTBTC,1.179e-05,1.208e-05,1.174e-05,1.187e-05,26453.6,0.31588283,262
1716854400000,2024-05-28,BNTBTC,1.208e-05,1.217e-05,1.179e-05,1.181e-05,38754.5,0.46384395,419
1716768000000,2024-05-27,BNTBTC,1.179e-05,1.211e-05,1.176e-05,1.205e-05,60639.6,0.72060527,378
