Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR,tradecount
1737504000000,2025-01-22,BTCEUR,101951.58,102036.09,99243.29,99654.75,288.31324,28965009.2769461,55400
1737417600000,2025-01-21,BTCEUR,98225.95,102845.9,96500.0,101926.59,461.39534,46089608.5347817,92610
1737331200000,2025-01-20,BTCEUR,98666.66,105980.17,96764.49,98275.85,1099.796079,111960361.6449176,187262
1737244800000,2025-01-19,BTCEUR,100836.29,103740.97,97109.03,98668.03,923.80869,93682285.6925395,136390
1737158400000,2025-01-18,BTCEUR,100996.0,101805.42,98911.43,100846.96,448.08408,45032971.1101426,78295
1737072000000,2025-01-17,BTCEUR,96881.81,102915.49,96847.94,100996.0,561.59826,56367839.8483967,76842
1736985600000,2025-01-16,BTCEUR,97170.22,97517.66,94490.68,96881.52,304.13163,29315069.486684,52862
1736899200000,2025-01-15,BTCEUR,93700.72,97755.63,93611.94,97185.26,394.39909,37694444.3919316,57193
1736812800000,2025-01-14,BTCEUR,92075.91,94922.28,91960.29,93700.8,298.22595,27930440.1639413,44570
1736726400000,2025-01-13,BTCEUR,92343.9,93677.21,87571.22,92066.92,595.87622,53851766.0084567,70602
1736640000000,2025-01-12,BTCEUR,92273.67,93138.5,91459.96,92344.22,136.199,12556127.6197646,20072
1736553600000,2025-01-11,BTCEUR,92528.89,92716.83,91620.13,92290.71,93.04547,8577503.1705125,17807
1736467200000,2025-01-10,BTCEUR,90041.78,93505.37,89939.8,92559.57,383.50147,35177285.4721238,50105
1736380800000,2025-01-09,BTCEUR,92230.0,92475.69,88626.52,90043.94,400.62722,36189158.8088078,51895
1736294400000,2025-01-08,BTCEUR,93794.03,94052.63,89840.74,92230.0,422.64004,38952002.2435614,60670
1736208000000,2025-01-07,BTCEUR,98460.54,98920.33,92954.66,93817.29,393.36593,37494618.4300491,61544
1736121600000,2025-01-06,BTCEUR,95404.0,98714.27,94903.2,98458.4,298.07473,28864613.1129726,46213
1736035200000,2025-01-05,BTCEUR,95165.7,95857.65,94284.84,95402.12,80.67431,7671167.4531325,18955
1735948800000,2025-01-04,BTCEUR,94967.86,95705.17,94545.46,95163.64,108.19431,10274173.1931629,22699
